预测值：0.6432083332250002 真实值：0.657222222 误差：2.13229076953%
预测值：0.5968240738833334 真实值：0.607222222 误差：1.71241231627%
预测值：0.5603055557 真实值：0.57 误差：1.70077970175%
预测值：0.49283333329999995 真实值：0.46 误差：7.13768115217%
预测值：0.5771157407083335 真实值：0.599444444 误差：3.72489953242%
预测值：0.6380277776999999 真实值：0.669444444 误差：4.69294600644%
预测值：0.5894447090171429 真实值：0.601111111 误差：1.9408062452%
预测值：0.63819444455 真实值：0.645 误差：1.05512487597%
预测值：0.62015370385 真实值：0.604444444 误差：2.59895843298%
预测值：0.5818935186 真实值：0.575555556 误差：1.10119041228%
预测值：0.5840277777666667 真实值：0.616111111 误差：5.2073940334%
预测值：0.49885185183333336 真实值：0.538333333 误差：7.33402127389%
预测值：0.5094999999000001 真实值：0.47 误差：8.40425529787%
预测值：0.6220703703166667 真实值：0.611111111 误差：1.79333334305%
预测值：0.55288888888 真实值：0.55 误差：0.525252523636%
预测值：0.6393796297333334 真实值：0.633888889 误差：0.866199239112%
预测值：0.63911666686 真实值：0.655555556 误差：2.50762715525%
预测值：0.6333796296 真实值：0.614444444 误差：3.081675778%
预测值：0.617430555575 真实值：0.638333333 误差：3.27458654349%
预测值：0.564689814975 真实值：0.556111111 误差：1.54262409172%
预测值：0.6271527778666666 真实值：0.64 误差：2.00737845833%
预测值：0.5643388889000001 真实值：0.558333333 误差：1.07562195288%
预测值：0.609037037 真实值：0.622222222 误差：2.11904759004%
预测值：0.60641666655 真实值：0.617777778 误差：1.83902883117%
预测值：0.5790231481333332 真实值：0.558888889 误差：3.60255133527%
预测值：0.554241666685 真实值：0.562777778 误差：1.51678187176%
预测值：0.547830026475 真实值：0.567222222 误差：3.41880038773%
预测值：0.5371250000083334 真实值：0.528333333 误差：1.66403792061%
预测值：0.610333333 真实值：0.596666667 误差：2.29050268028%
预测值：0.5806666666166667 真实值：0.576111111 误差：0.790742537279%
预测值：0.6271759259 真实值：0.613333333 误差：2.25694449579%
预测值：0.5814166665833334 真实值：0.594444444 误差：2.19158872594%
预测值：0.4658333332 真实值：0.46 误差：1.26811591304%
预测值：0.5922638889749999 真实值：0.597222222 误差：0.830232506821%
预测值：0.58683333335 真实值：0.560555556 误差：4.68780963256%
预测值：0.6307424603114286 真实值：0.641111111 误差：1.61729386852%
预测值：0.4809999998 真实值：0.52 误差：7.50000003846%
预测值：0.6324794973666666 真实值：0.601111111 误差：5.21840069043%
预测值：0.6289444444888889 真实值：0.639444444 误差：1.64205031565%
预测值：0.5761064815916666 真实值：0.562777778 误差：2.368377735%
预测值：0.5900443121500001 真实值：0.599444444 误差：1.56814062489%
预测值：0.6241583333 真实值：0.638333333 误差：2.22062658602%
预测值：0.5911746030142857 真实值：0.577222222 误差：2.41715936818%
预测值：0.6359907407333333 真实值：0.636111111 误差：0.0189228366845%
预测值：0.6252902776000001 真实值：0.614444444 误差：1.76514471014%
预测值：0.6472824073833332 真实值：0.627222222 误差：3.19825807819%
预测值：0.5690000000666666 真实值：0.603888889 误差：5.77736891154%
预测值：0.4888333331000001 真实值：0.476666667 误差：2.55244743178%
预测值：0.57022685195 真实值：0.566666667 误差：0.628267931983%
预测值：0.6463236112074999 真实值：0.643888889 误差：0.378127693938%
预测值：0.49702083314999995 真实值：0.466666667 误差：6.50446417035%
预测值：0.5829768519 真实值：0.578888889 误差：0.7061740133%
预测值：0.6014369048250001 真实值：0.583333333 误差：3.10346945749%
预测值：0.57021666684 真实值：0.545555556 误差：4.5203665454%
预测值：0.5838240741166667 真实值：0.601666667 误差：2.9655279014%
预测值：0.6311944444 真实值：0.63 误差：0.189594349206%
预测值：0.5051388887 真实值：0.496666667 误差：1.70581644852%
预测值：0.5884888889 真实值：0.590555556 误差：0.349953036425%
预测值：0.6218518518999999 真实值：0.64 误差：2.83564814063%
预测值：0.6094444445 真实值：0.599444444 误差：1.66821139141%
