预测值：-15.172057032519142 真实值：0.52 误差：3017.70327548%
预测值：6.386674431082106 真实值：0.601111111 误差：962.478186513%
预测值：14.833454496834015 真实值：0.639444444 误差：2219.74093074%
预测值：14.570221498266456 真实值：0.562777778 误差：2488.9830885%
预测值：6.129237632427767 真实值：0.599444444 误差：922.486352785%
预测值：13.818021027449795 真实值：0.638333333 误差：2064.70303415%
预测值：13.137090083964559 真实值：0.577222222 误差：2175.91551109%
预测值：19.855579957967684 真实值：0.636111111 误差：3021.40121664%
预测值：0.9905392328699416 真实值：0.614444444 误差：61.2089168586%
预测值：38.02038621939443 真实值：0.627222222 误差：5961.70905396%
预测值：31.569773458814616 真实值：0.603888889 误差：5127.745374%
预测值：3.8299873348350455 真实值：0.476666667 误差：703.493845907%
预测值：16.77891208209639 真实值：0.566666667 误差：2860.98448333%
预测值：31.73330401163441 真实值：0.643888889 误差：4828.38198543%
预测值：-51.01194629297577 真实值：0.466666667 误差：11031.1313407%
预测值：37.798571330536056 真实值：0.578888889 误差：6429.50368348%
预测值：21.93482805398782 真实值：0.583333333 误差：3660.25623998%
预测值：40.098869208288825 真实值：0.545555556 误差：7250.09821956%
预测值：12.720671166906477 真实值：0.601666667 误差：2014.23897394%
预测值：15.665813211928544 真实值：0.63 误差：2386.63701777%
预测值：29.292700264995865 真实值：0.496666667 误差：5797.8591098%
预测值：22.020674066527427 真实值：0.590555556 误差：3628.80651834%
预测值：46.952786528927454 真实值：0.64 误差：7236.37289514%
预测值：17.19453148738655 真实值：0.599444444 误差：2768.41118631%
预测值：8.31539400191236 真实值：0.608888889 误差：1265.66689788%
预测值：22.137278427071756 真实值：0.595 误差：3620.55099615%
预测值：1.107625836928896 真实值：0.590555556 误差：87.5565856041%
预测值：-13.473567500823542 真实值：0.463333333 误差：3007.9642109%
预测值：13.508836260945323 真实值：0.592222222 误差：2181.041771%
预测值：-2.6321252656608114 真实值：0.639444444 误差：511.626888052%
预测值：11.763547988148112 真实值：0.57 误差：1963.7803488%
预测值：17.964268087509772 真实值：0.567222222 误差：3067.05999708%
预测值：14.707154288208308 真实值：0.584444444 误差：2416.43324514%
预测值：27.3464664678416 真实值：0.532222222 误差：5038.1669794%
预测值：21.297158981457933 真实值：0.549444444 误差：3776.12600583%
预测值：32.36350010250346 真实值：0.582222222 误差：5458.61643194%
预测值：25.922156239315946 真实值：0.638888889 误差：3957.38097588%
预测值：30.160399928213288 真实值：0.630555556 误差：4683.14712181%
预测值：-29.377303818876776 真实值：0.456666667 误差：6532.98623301%
预测值：28.658908023182626 真实值：0.588888889 误差：4766.60702189%
预测值：15.147127625236244 真实值：0.583888889 误差：2494.17980212%
预测值：7.3309653378465285 真实值：0.602777778 误差：1116.19701413%
预测值：5.06454784073123 真实值：0.578333333 误差：775.71432455%
预测值：1.0118651470589337 真实值：0.541666667 误差：86.8058731882%
预测值：10.558824666365076 真实值：0.562777778 误差：1776.19786693%
预测值：20.623938312907576 真实值：0.580555556 误差：3452.4487019%
预测值：7.609698282642576 真实值：0.62 误差：1127.37069075%
预测值：94.31811253438724 真实值：0.632777778 误差：14805.4084725%
