预测值：0.5841111112 真实值：0.605 误差：3.45270889256%
预测值：0.6402222222 真实值：0.635555556 误差：0.734265660326%
预测值：0.5853333334 真实值：0.556111111 误差：5.25474528776%
预测值：0.584111111 真实值：0.581111111 误差：0.516252390156%
预测值：0.5700000000000001 真实值：0.550555556 误差：3.53178599109%
预测值：0.587 真实值：0.580555556 误差：1.11004776949%
预测值：0.6113333334 真实值：0.595555556 误差：2.64925366593%
预测值：0.4943333334 真实值：0.456666667 误差：8.24817511807%
预测值：0.6517777778 真实值：0.663888889 误差：1.82426779551%
预测值：0.5990000000000001 真实值：0.601111111 误差：0.351201460324%
预测值：0.5923333332 真实值：0.586111111 误差：1.06161137082%
预测值：0.6125555556 真实值：0.595555556 误差：2.85447754265%
预测值：0.5863333332 真实值：0.587222222 误差：0.151371791921%
预测值：0.5938888888 真实值：0.6 误差：1.01851853333%
预测值：0.5608888888 真实值：0.581666667 误差：3.57211086328%
预测值：0.590777778 真实值：0.577222222 误差：2.34841201245%
预测值：0.6315555554000001 真实值：0.651666667 误差：3.08610408026%
预测值：0.582888889 真实值：0.576666667 误差：1.07899803406%
预测值：0.5687777776 真实值：0.553888889 误差：2.68806413988%
预测值：0.5847777776 真实值：0.549444444 误差：6.43073817305%
预测值：0.6292222222 真实值：0.601111111 误差：4.67652496944%
预测值：0.5599999999999999 真实值：0.545 误差：2.75229357798%
预测值：0.5744444443999999 真实值：0.573888889 误差：0.0968053939793%
预测值：0.6023333334000001 真实值：0.606111111 误差：0.623281364001%
预测值：0.5023333332 真实值：0.53 误差：5.22012581132%
预测值：0.5791111112 真实值：0.572777778 误差：1.10572257571%
预测值：0.581111111 真实值：0.583888889 误差：0.475737430928%
预测值：0.6454444442 真实值：0.635 误差：1.6447943622%
预测值：0.5948888890000001 真实值：0.591111111 误差：0.639097782075%
预测值：0.5476666668 真实值：0.576666667 误差：5.02890176588%
预测值：0.6298888888 真实值：0.635555556 误差：0.891608474901%
预测值：0.6140000002 真实值：0.600555556 误差：2.23866785773%
预测值：0.6427777778 真实值：0.634444444 误差：1.31348518831%
预测值：0.6415555555999999 真实值：0.621111111 误差：3.29159215443%
预测值：0.5855555555999999 真实值：0.590555556 误差：0.846660462204%
预测值：0.6319999999999999 真实值：0.622222222 误差：1.5714286077%
预测值：0.5993333334 真实值：0.582222222 误差：2.93893134845%
预测值：0.6111111109999999 真实值：0.605 误差：1.01010099174%
预测值：0.5711111109999999 真实值：0.575555556 误差：0.77220086813%
预测值：0.559888889 真实值：0.565 误差：0.904621415929%
预测值：0.5685555554 真实值：0.564444444 误差：0.728346508448%
预测值：0.5798888888 真实值：0.576111111 误差：0.655737708902%
预测值：0.5770000000000001 真实值：0.623333333 误差：7.43315503071%
预测值：0.6053333331999999 真实值：0.607222222 误差：0.311070433783%
预测值：0.4886666664 真实值：0.463333333 误差：5.4676259176%
预测值：0.5541111111999999 真实值：0.545 误差：1.67176352294%
预测值：0.5765555553999999 真实值：0.588888889 误差：2.09433966753%
预测值：0.6082222222 真实值：0.599444444 误差：1.46431888524%
预测值：0.6079999998 真实值：0.645555556 误差：5.81755603386%
预测值：0.5811111112 真实值：0.558888889 误差：3.97614313639%
预测值：0.6210000002000001 真实值：0.62 误差：0.161290354839%
预测值：0.580222222 真实值：0.558888889 误差：3.81709735511%
预测值：0.623111111 真实值：0.612222222 误差：1.77858441081%
预测值：0.5793333334 真实值：0.579444444 误差：0.0191753672247%
预测值：0.5752222224000001 真实值：0.561666667 误差：2.41345199857%
预测值：0.5163333334 真实值：0.53 误差：2.57861633962%
预测值：0.48133333319999994 真实值：0.461666667 误差：4.25992769368%
预测值：0.49633333319999995 真实值：0.556666667 误差：10.8383234306%
预测值：0.567 真实值：0.562222222 误差：0.849802411403%
预测值：0.6398888888 真实值：0.619444444 误差：3.30044849026%
预测值：0.4893333332 真实值：0.515 误差：4.98381879612%
预测值：0.5703333334 真实值：0.578333333 误差：1.38328523423%
预测值：0.5645555557999999 真实值：0.539444444 误差：4.65499498221%
预测值：0.5833333333999999 真实值：0.549444444 误差：6.16784640742%
预测值：0.5781111112 真实值：0.586111111 误差：1.36492887609%
预测值：0.6345555558 真实值：0.639444444 误差：0.764552455788%
预测值：0.628888889 真实值：0.64 误差：1.73611109375%
预测值：0.6101111114 真实值：0.596666667 误差：2.25325883673%
预测值：0.5864444444 真实值：0.591666667 误差：0.882629171334%
预测值：0.590777778 真实值：0.599444444 误差：1.44578302239%
预测值：0.5036666666 真实值：0.468333333 误差：7.54448404807%
预测值：0.5859999998 真实值：0.592777778 误差：1.14339276058%
预测值：0.616111111 真实值：0.616111111 误差：0.0%
预测值：0.5524444444000001 真实值：0.577777778 误差：4.38461542908%
预测值：0.6003333334000001 真实值：0.612222222 误差：1.94192372847%
预测值：0.5536666666000001 真实值：0.562222222 误差：1.52173910337%
预测值：0.5661111111999999 真实值：0.552777778 误差：2.41206027642%
预测值：0.5818888888 真实值：0.571111111 误差：1.88715953733%
预测值：0.6483333334 真实值：0.637777778 误差：1.65505223984%
预测值：0.6103333334000001 真实值：0.623333333 误差：2.08556143427%
预测值：0.5817777778 真实值：0.562222222 误差：3.47826091442%
预测值：0.62 真实值：0.617222222 误差：0.450045040666%
预测值：0.5492222223999998 真实值：0.539444444 误差：1.81256448347%
预测值：0.6464444446 真实值：0.619444444 误差：4.35874449461%
预测值：0.6419999998 真实值：0.636111111 误差：0.925764178328%
预测值：0.5694444444 真实值：0.558888889 误差：1.88866796384%
预测值：0.6059999998000001 真实值：0.589444444 误差：2.80867110862%
预测值：0.5701111112 真实值：0.573888889 误差：0.658276867249%
预测值：0.5664444446 真实值：0.557222222 误差：1.65503496377%
预测值：0.49166666679999993 真实值：0.53 误差：7.23270437736%
预测值：0.563888889 真实值：0.596666667 误差：5.4934823433%
预测值：0.5216666665999999 真实值：0.538888889 误差：3.19587632099%
预测值：0.6373333334 真实值：0.647222222 误差：1.5278969516%
预测值：0.563111111 真实值：0.55 误差：2.38383836364%
预测值：0.6295555555999999 真实值：0.61 误差：3.20582878689%
预测值：0.5820000002000001 真实值：0.579444444 误差：0.441035586148%
预测值：0.5697777778 真实值：0.555555556 误差：2.55999992195%
预测值：0.6286666665999999 真实值：0.633333333 误差：0.736842063546%
预测值：0.6275555554000001 真实值：0.615555556 误差：1.94945838487%
预测值：0.6188888888 真实值：0.618333333 误差：0.0898472992398%
预测值：0.6370000000000001 真实值：0.646111111 误差：1.41014615673%
预测值：0.5827777775999999 真实值：0.595 误差：2.05415502521%
预测值：0.6207777778 真实值：0.646666667 误差：4.00343647216%
预测值：0.595111111 真实值：0.602222222 误差：1.1808117901%
预测值：0.5965555553999999 真实值：0.6 误差：0.5740741%
预测值：0.49466666680000004 真实值：0.463333333 误差：6.76259003364%
预测值：0.6360000001999999 真实值：0.656666667 误差：3.14720814053%
预测值：0.5721111112 真实值：0.558333333 误差：2.46766176864%
预测值：0.5676666666000001 真实值：0.561666667 误差：1.06824918631%
预测值：0.6355555554 真实值：0.663888889 误差：4.26778246623%
预测值：0.5836666667999999 真实值：0.602777778 误差：3.17050692602%
预测值：0.5963333331999999 真实值：0.62 误差：3.81720432258%
预测值：0.6011111112 真实值：0.62 误差：3.04659496774%
预测值：0.6473333332 真实值：0.682777778 误差：5.19121241816%
预测值：0.5693333334 真实值：0.612777778 误差：7.08975523587%
预测值：0.5642222222000001 真实值：0.567777778 误差：0.626223134784%
预测值：0.5802222224 真实值：0.58 误差：0.0383142068966%
预测值：0.6400000001999999 真实值：0.635555556 误差：0.69930066035%
预测值：0.5505555556 真实值：0.536111111 误差：2.69430054771%
预测值：0.63 真实值：0.636111111 误差：0.960698672657%
预测值：0.48666666659999996 真实值：0.468333333 误差：3.91459080706%
预测值：0.6076666663999999 真实值：0.61 误差：0.382513704918%
预测值：0.620888889 真实值：0.626111111 误差：0.834072724194%
预测值：0.6114444444 真实值：0.640555556 误差：4.54466616163%
预测值：0.563888889 真实值：0.588333333 误差：4.15486300519%
预测值：0.639 真实值：0.636666667 误差：0.366492094049%
预测值：0.646111111 真实值：0.651111111 误差：0.767918088868%
预测值：0.49233333320000006 真实值：0.498333333 误差：1.2040133386%
预测值：0.5363333332 真实值：0.560555556 误差：4.32111010956%
预测值：0.5888888889999999 真实值：0.576666667 误差：2.1194604612%
平均误差：2.55589970658%
